Date,SEK
2017-10-11,8.049
2017-10-10,8.0738
2017-10-09,8.1262
2017-10-06,8.1188
2017-10-05,8.1407
2017-10-04,8.0987
2017-10-03,8.1376
2017-10-02,8.1698
2017-09-29,8.148
2017-09-28,8.1124
2017-09-27,8.1495
2017-09-26,8.1199
2017-09-25,8.0432
2017-09-22,7.9828
2017-09-21,7.972
2017-09-20,8.0132
2017-09-19,7.9519
2017-09-18,7.9623
2017-09-15,7.9663
2017-09-14,7.9889
2017-09-13,8.0329
2017-09-12,7.9714
2017-09-11,8.0129
2017-09-08,7.931
2017-09-07,7.9211
2017-09-06,7.9804
2017-09-05,7.9703
2017-09-04,7.9639
2017-09-01,8
2017-08-31,7.9387
2017-08-30,7.9794
2017-08-29,7.9389
2017-08-28,7.9589
2017-08-25,7.9644
2017-08-24,8.0672
2017-08-23,8.0598
2017-08-22,8.0947
2017-08-21,8.074
2017-08-18,8.116
2017-08-17,8.1394
2017-08-16,8.0773
2017-08-15,8.0735
2017-08-14,8.1129
2017-08-11,8.1186
2017-08-10,8.1352
2017-08-09,8.177
2017-08-08,8.1759
2017-08-07,8.1502
2017-08-04,8.1463
2017-08-03,8.1015
2017-08-02,8.0983
2017-08-01,8.1095
2017-07-31,8.0678
2017-07-28,8.1195
2017-07-27,8.2155
2017-07-26,8.1703
2017-07-25,8.2085
2017-07-24,8.2154
2017-07-21,8.2417
2017-07-20,8.2238
2017-07-19,8.3037
2017-07-18,8.3019
2017-07-17,8.2893
2017-07-14,8.3082
2017-07-13,8.3587
2017-07-12,8.4173
2017-07-11,8.4004
2017-07-10,8.4305
2017-07-07,8.4269
2017-07-06,8.4423
2017-07-05,8.4868
2017-07-04,8.5261
